epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5375,1.04318,3.427,1.22146,0.02051,0.87669,0.22886,0.15058,0.96845,3.13072,0.99652,0.000333333,0.000333333,0.000333333
2,57.8727,0.86222,2.81041,1.06927,0.02164,0.90897,0.3155,0.22412,0.81472,2.83383,0.94512,0.00073515,0.00073515,0.00073515
3,85.3274,0.98674,2.24318,1.10275,0.89671,0.08877,0.42591,0.28186,0.87675,2.5956,1.0385,0.00112047,0.00112047,0.00112047
4,112.878,0.91318,1.89898,1.0895,0.46238,0.36775,0.44688,0.28623,0.96435,2.38553,1.08905,0.00117575,0.00117575,0.00117575
5,140.68,0.90259,1.62354,1.09564,0.35404,0.45205,0.48891,0.3386,0.87344,2.09718,1.08853,0.001151,0.001151,0.001151
6,168.022,0.86938,1.3313,1.0842,0.65602,0.47679,0.48158,0.34053,0.95148,2.04145,1.14921,0.00112625,0.00112625,0.00112625
7,198.114,0.81606,1.25606,1.0902,0.69981,0.49605,0.5313,0.38416,0.95085,1.93842,1.11304,0.0011015,0.0011015,0.0011015
8,228.548,0.8195,1.19991,1.0953,0.63032,0.61465,0.66038,0.46708,0.88534,1.66751,1.12606,0.00107675,0.00107675,0.00107675
9,258.966,0.72194,1.06867,1.03396,0.67914,0.67326,0.73275,0.54837,0.81378,1.49942,1.0784,0.001052,0.001052,0.001052
10,289.15,0.72516,1.00071,1.03981,0.76821,0.67452,0.77775,0.58868,0.84824,1.40727,1.11318,0.00102725,0.00102725,0.00102725
11,319.242,0.7139,0.98434,1.04987,0.7686,0.76407,0.80689,0.63974,0.72291,1.22141,1.02716,0.0010025,0.0010025,0.0010025
12,349.099,0.64043,0.88462,0.9932,0.74685,0.72449,0.79897,0.63826,0.69145,1.26342,1.01006,0.00097775,0.00097775,0.00097775
13,377.174,0.63562,0.86957,1.01123,0.69408,0.78112,0.81082,0.64675,0.68097,1.2658,1.01455,0.000953,0.000953,0.000953
14,407.171,0.65848,0.86498,1.00585,0.73454,0.78223,0.81112,0.64044,0.71034,1.23902,1.04398,0.00092825,0.00092825,0.00092825
15,435.959,0.6432,0.88066,1.00805,0.71251,0.72731,0.80906,0.62934,0.72494,1.37029,1.04514,0.0009035,0.0009035,0.0009035
16,464.493,0.62322,0.87991,0.98343,0.75675,0.64682,0.79279,0.61789,0.70176,1.42509,1.02148,0.00087875,0.00087875,0.00087875
17,492.592,0.65437,0.84249,1.00191,0.8617,0.65737,0.82799,0.65241,0.66754,1.2413,1.00308,0.000854,0.000854,0.000854
18,522.195,0.60281,0.80651,0.9738,0.88503,0.69537,0.82817,0.6571,0.66718,1.21456,1.01356,0.00082925,0.00082925,0.00082925
19,553.645,0.63937,0.86712,0.99984,0.86462,0.73024,0.83939,0.68955,0.61659,1.18796,1.00269,0.0008045,0.0008045,0.0008045
20,582.802,0.56885,0.75522,0.964,0.847,0.74374,0.8583,0.71085,0.60055,1.05776,1.01194,0.00077975,0.00077975,0.00077975
21,610.073,0.62118,0.78722,1.01837,0.85649,0.79132,0.86852,0.72879,0.56663,0.8914,1.00758,0.000755,0.000755,0.000755
22,637.443,0.57936,0.76291,0.97803,0.83594,0.84629,0.86867,0.73304,0.55308,0.89064,0.9865,0.00073025,0.00073025,0.00073025
23,665.228,0.55851,0.74476,0.9575,0.89516,0.7744,0.85629,0.72884,0.55057,0.85534,0.97431,0.0007055,0.0007055,0.0007055
24,692.528,0.56042,0.72098,0.97032,0.91522,0.81086,0.86264,0.72253,0.56218,0.79405,0.96427,0.00068075,0.00068075,0.00068075
25,720.19,0.55646,0.71537,0.95258,0.87474,0.87742,0.8789,0.73638,0.56014,0.73859,0.95381,0.000656,0.000656,0.000656
26,747.963,0.56475,0.72164,0.96533,0.884,0.89149,0.87787,0.7434,0.5491,0.7118,0.95901,0.00063125,0.00063125,0.00063125
27,775.659,0.51479,0.67267,0.94709,0.89099,0.89323,0.87869,0.75135,0.54097,0.69666,0.96422,0.0006065,0.0006065,0.0006065
28,803.475,0.51691,0.6878,0.92904,0.90545,0.88718,0.88613,0.74701,0.56413,0.69797,0.97484,0.00058175,0.00058175,0.00058175
29,831.272,0.49384,0.63421,0.93596,0.88491,0.8761,0.87844,0.73538,0.53873,0.69973,0.98278,0.000557,0.000557,0.000557
30,859.037,0.50501,0.66182,0.95378,0.89867,0.85202,0.86673,0.73863,0.53696,0.70967,0.98028,0.00053225,0.00053225,0.00053225
31,886.366,0.503,0.64149,0.92109,0.89338,0.85713,0.86643,0.74104,0.54131,0.72095,0.97903,0.0005075,0.0005075,0.0005075
32,913.975,0.52623,0.66673,0.94944,0.89459,0.86257,0.86573,0.739,0.55849,0.74241,0.984,0.00048275,0.00048275,0.00048275
33,941.569,0.49733,0.6516,0.9341,0.89035,0.85613,0.86759,0.74249,0.5192,0.74765,0.97771,0.000458,0.000458,0.000458
34,968.918,0.49215,0.6637,0.95623,0.88749,0.87012,0.87638,0.74902,0.5056,0.72716,0.97072,0.00043325,0.00043325,0.00043325
35,996.728,0.47058,0.60406,0.9183,0.87444,0.8803,0.87521,0.75107,0.49807,0.71819,0.96457,0.0004085,0.0004085,0.0004085
36,1024.41,0.46391,0.59556,0.93868,0.87675,0.87729,0.8727,0.74425,0.50755,0.72762,0.9649,0.00038375,0.00038375,0.00038375
37,1052.03,0.48372,0.6249,0.93658,0.88878,0.86283,0.87082,0.72708,0.51388,0.76434,0.96624,0.000359,0.000359,0.000359
38,1079.42,0.48909,0.59413,0.94608,0.88026,0.86648,0.86926,0.73491,0.50082,0.75364,0.95483,0.00033425,0.00033425,0.00033425
39,1106.84,0.47762,0.6257,0.94124,0.9004,0.85908,0.87185,0.74285,0.49403,0.73217,0.94587,0.0003095,0.0003095,0.0003095
40,1134.54,0.45691,0.58258,0.91588,0.90518,0.8572,0.87285,0.74848,0.48474,0.71818,0.94305,0.00028475,0.00028475,0.00028475
41,1161.7,0.42521,0.68338,0.922,0.88556,0.84951,0.86745,0.74717,0.4719,0.74321,0.93951,0.00026,0.00026,0.00026
42,1190.01,0.43733,0.65471,0.91683,0.8872,0.84607,0.86812,0.75091,0.47931,0.77858,0.94188,0.00023525,0.00023525,0.00023525
43,1217.56,0.41985,0.63963,0.89211,0.88365,0.84715,0.86474,0.75111,0.47245,0.81019,0.94057,0.0002105,0.0002105,0.0002105
44,1244.55,0.41514,0.64989,0.89246,0.89208,0.84061,0.86566,0.75206,0.46442,0.80981,0.94194,0.00018575,0.00018575,0.00018575
45,1271.61,0.41003,0.64744,0.90626,0.8877,0.83976,0.86449,0.75157,0.4646,0.75598,0.95033,0.000161,0.000161,0.000161
46,1298.56,0.39965,0.59583,0.89806,0.88292,0.84358,0.86666,0.75099,0.46546,0.72211,0.95229,0.00013625,0.00013625,0.00013625
47,1325.8,0.39191,0.57942,0.89668,0.88294,0.85139,0.86437,0.74531,0.46832,0.70124,0.95596,0.0001115,0.0001115,0.0001115
48,1352.58,0.3983,0.58704,0.89505,0.88127,0.8526,0.86461,0.74193,0.47423,0.69207,0.95784,8.675e-05,8.675e-05,8.675e-05
49,1379.57,0.38707,0.57515,0.87547,0.88951,0.86248,0.86664,0.74369,0.47297,0.67442,0.95497,6.2e-05,6.2e-05,6.2e-05
50,1406.4,0.37572,0.57169,0.89566,0.89915,0.86084,0.86424,0.74264,0.47054,0.67193,0.95411,3.725e-05,3.725e-05,3.725e-05
