epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5721,0.89227,3.53683,0.00822,0.49475,0.30763,0.23378,0.17835,0.69067,3.28356,0.00884,0.000405702,0.000405702,0.000405702
2,151.133,0.93086,2.63321,0.00907,0.3327,0.44006,0.33451,0.24052,1.01561,2.86975,0.01261,0.000806086,0.000806086,0.000806086
3,220.176,1.03216,2.32605,0.01067,0.43967,0.52491,0.42965,0.32477,0.97997,2.44403,0.01234,0.00118997,0.00118997,0.00118997
4,289.002,1.14328,2.28999,0.01125,0.45104,0.26997,0.30101,0.21658,0.96503,3.06096,0.01221,0.00117575,0.00117575,0.00117575
5,357.082,1.1152,1.93085,0.01052,0.56719,0.50804,0.50184,0.36441,1.01622,2.34336,0.01326,0.001151,0.001151,0.001151
6,437.436,1.1176,2.05083,0.01004,0.49352,0.46554,0.47436,0.34733,0.79656,2.05986,0.01006,0.00112625,0.00112625,0.00112625
7,505.786,1.00007,1.82125,0.00976,0.77188,0.59316,0.68061,0.51435,0.83993,1.67198,0.01048,0.0011015,0.0011015,0.0011015
8,574.558,1.05653,1.75945,0.01118,0.71755,0.59863,0.66606,0.49708,0.89209,1.48568,0.01204,0.00107675,0.00107675,0.00107675
9,642.957,1.03159,1.6496,0.0095,0.73364,0.72056,0.71608,0.53848,0.94218,1.33044,0.01292,0.001052,0.001052,0.001052
10,711.834,0.89233,1.40142,0.00894,0.69889,0.68056,0.71988,0.55494,0.77772,1.33265,0.0106,0.00102725,0.00102725,0.00102725
11,794.813,0.94434,1.33551,0.00914,0.68576,0.66661,0.68436,0.54422,0.82947,1.32923,0.01067,0.0010025,0.0010025,0.0010025
12,863.103,0.90265,1.1904,0.00933,0.79546,0.68921,0.76792,0.62228,0.74367,0.97305,0.0095,0.00097775,0.00097775,0.00097775
13,932.04,0.89603,1.15785,0.00926,0.76784,0.76765,0.8012,0.66849,0.66772,0.89527,0.00847,0.000953,0.000953,0.000953
14,1003.35,0.81598,0.94358,0.0078,0.76738,0.72253,0.78979,0.63059,0.73069,0.96322,0.00934,0.00092825,0.00092825,0.00092825
15,1071.7,0.95727,1.10341,0.00899,0.81767,0.72878,0.80644,0.61469,0.79959,1.02528,0.01038,0.0009035,0.0009035,0.0009035
16,1151.84,0.94968,1.08564,0.00939,0.84601,0.76233,0.84231,0.659,0.86528,0.92769,0.01082,0.00087875,0.00087875,0.00087875
17,1234.98,0.94756,0.98238,0.00947,0.8794,0.80523,0.84088,0.67535,0.76022,0.7834,0.00972,0.000854,0.000854,0.000854
18,1307.87,0.89963,0.9204,0.00865,0.85677,0.81215,0.83143,0.69526,0.63869,0.7044,0.00838,0.00082925,0.00082925,0.00082925
19,1376.28,0.84969,0.92591,0.00907,0.78509,0.8078,0.82458,0.68517,0.65784,0.72938,0.00846,0.0008045,0.0008045,0.0008045
20,1444.09,0.83133,0.92113,0.00815,0.81632,0.81702,0.80994,0.66983,0.6613,0.80155,0.009,0.00077975,0.00077975,0.00077975
21,1511.87,0.74883,0.79874,0.00744,0.80323,0.7787,0.82102,0.67133,0.66572,0.85751,0.00917,0.000755,0.000755,0.000755
22,1588.59,0.76941,0.81473,0.00707,0.83386,0.78556,0.8313,0.69104,0.61151,0.81932,0.00824,0.00073025,0.00073025,0.00073025
23,1662.5,0.82353,0.94198,0.0079,0.84485,0.77266,0.83638,0.68362,0.68822,0.68953,0.00863,0.0007055,0.0007055,0.0007055
24,1730.51,0.80197,0.84616,0.00797,0.84981,0.76424,0.83179,0.70302,0.61427,0.63298,0.00768,0.00068075,0.00068075,0.00068075
25,1798.92,0.78226,0.77298,0.00724,0.79876,0.83832,0.83301,0.70385,0.65354,0.64631,0.00817,0.000656,0.000656,0.000656
26,1867.43,0.79134,0.76741,0.00798,0.84827,0.81239,0.83624,0.68949,0.66964,0.67004,0.00863,0.00063125,0.00063125,0.00063125
27,1935.27,0.80888,0.7936,0.00789,0.83596,0.78506,0.83255,0.69726,0.64398,0.65173,0.0085,0.0006065,0.0006065,0.0006065
28,2017.16,0.73087,0.72489,0.00679,0.79455,0.84005,0.83365,0.7152,0.57882,0.66957,0.00753,0.00058175,0.00058175,0.00058175
29,2101.64,0.76404,0.82555,0.00805,0.90115,0.78261,0.8375,0.71273,0.60897,0.64922,0.00769,0.000557,0.000557,0.000557
30,2169.79,0.70599,0.66083,0.00688,0.84045,0.83266,0.84058,0.73285,0.55928,0.61881,0.00712,0.00053225,0.00053225,0.00053225
31,2238.16,0.69714,0.74909,0.00641,0.85446,0.83884,0.8541,0.74918,0.55724,0.58941,0.00713,0.0005075,0.0005075,0.0005075
32,2306.74,0.69285,0.68236,0.00651,0.89525,0.81581,0.8607,0.74861,0.56666,0.60639,0.00721,0.00048275,0.00048275,0.00048275
33,2374.95,0.649,0.67022,0.00652,0.8664,0.82666,0.84461,0.73688,0.54432,0.59751,0.00699,0.000458,0.000458,0.000458
34,2443.07,0.69168,0.66691,0.00669,0.83578,0.84268,0.851,0.74176,0.56867,0.57865,0.00727,0.00043325,0.00043325,0.00043325
35,2510.97,0.64978,0.62747,0.00591,0.81479,0.85065,0.85145,0.74724,0.53995,0.56066,0.00686,0.0004085,0.0004085,0.0004085
36,2578.93,0.61436,0.60811,0.00581,0.8182,0.86187,0.86032,0.7542,0.53126,0.55322,0.00668,0.00038375,0.00038375,0.00038375
37,2647.47,0.71321,0.68893,0.00621,0.87708,0.81443,0.85901,0.75357,0.53469,0.5474,0.00673,0.000359,0.000359,0.000359
38,2715.25,0.65388,0.64207,0.00585,0.85245,0.8239,0.85065,0.75377,0.54043,0.54946,0.00675,0.00033425,0.00033425,0.00033425
39,2783.26,0.63441,0.62971,0.0058,0.85003,0.83799,0.85275,0.75291,0.56178,0.53735,0.00691,0.0003095,0.0003095,0.0003095
40,2851,0.67211,0.64201,0.00669,0.86411,0.7966,0.84948,0.74411,0.54096,0.53804,0.00674,0.00028475,0.00028475,0.00028475
41,2932.18,0.60504,0.58437,0.00644,0.83501,0.82792,0.84881,0.74147,0.53737,0.57824,0.00658,0.00026,0.00026,0.00026
42,3000.1,0.62933,0.63279,0.00593,0.84602,0.85819,0.85153,0.73747,0.56127,0.59181,0.00684,0.00023525,0.00023525,0.00023525
43,3077.2,0.58661,0.55593,0.00612,0.86812,0.84591,0.85199,0.74196,0.54796,0.61177,0.00668,0.0002105,0.0002105,0.0002105
44,3148.79,0.54768,0.5502,0.00585,0.91554,0.79392,0.85491,0.74126,0.50313,0.56549,0.00635,0.00018575,0.00018575,0.00018575
45,3216.64,0.55084,0.53926,0.00588,0.87025,0.84836,0.8548,0.7438,0.52129,0.55685,0.00669,0.000161,0.000161,0.000161
46,3284.45,0.57291,0.54136,0.00562,0.84752,0.86005,0.85662,0.73874,0.5435,0.55073,0.007,0.00013625,0.00013625,0.00013625
47,3352.22,0.57944,0.64102,0.0055,0.87811,0.85285,0.86017,0.74676,0.53439,0.53424,0.00686,0.0001115,0.0001115,0.0001115
48,3420.21,0.57352,0.73611,0.00547,0.86455,0.85641,0.86337,0.74585,0.53029,0.53754,0.00681,8.675e-05,8.675e-05,8.675e-05
49,3487.93,0.51056,0.53467,0.00529,0.84367,0.86548,0.85773,0.7374,0.51673,0.55148,0.00663,6.2e-05,6.2e-05,6.2e-05
50,3564.83,0.4998,0.47467,0.00509,0.84602,0.87027,0.8613,0.74146,0.5117,0.54052,0.00653,3.725e-05,3.725e-05,3.725e-05
