epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7824,1.00375,5.37071,0.00919,0.13492,0.31642,0.13408,0.10287,0.66107,5.82369,0.00808,0.000394737,0.000394737,0.000394737
2,68.8695,0.82461,4.04146,0.00705,0.1979,0.47458,0.19737,0.13291,1.00895,4.79511,0.01314,0.000795338,0.000795338,0.000795338
3,101.966,0.9415,3.7508,0.00917,0.34042,0.41487,0.30203,0.21991,0.91665,4.81075,0.01159,0.00117944,0.00117944,0.00117944
4,134.955,1.03734,3.26883,0.01054,0.31874,0.5066,0.33113,0.24877,0.9389,4.59218,0.01211,0.00117575,0.00117575,0.00117575
5,167.865,0.98432,2.44897,0.00839,0.35749,0.61556,0.40896,0.32299,0.85819,3.79268,0.01059,0.001151,0.001151,0.001151
6,200.739,0.95941,2.26513,0.00831,0.54701,0.41971,0.52292,0.41909,0.8402,2.40675,0.0106,0.00112625,0.00112625,0.00112625
7,233.61,0.87249,1.98713,0.00814,0.59609,0.44117,0.5025,0.39291,0.85004,2.18593,0.01081,0.0011015,0.0011015,0.0011015
8,266.291,0.91149,1.79209,0.00929,0.46287,0.59557,0.53512,0.40784,0.82989,2.01057,0.01111,0.00107675,0.00107675,0.00107675
9,299.027,0.875,1.56864,0.00758,0.5788,0.61687,0.64296,0.49446,0.78116,1.83802,0.01062,0.001052,0.001052,0.001052
10,331.925,0.88318,1.59819,0.0084,0.63321,0.66423,0.66623,0.50025,0.7976,1.72555,0.01061,0.00102725,0.00102725,0.00102725
11,365.024,0.95451,1.50761,0.00864,0.60636,0.67822,0.66419,0.53968,0.74783,1.35175,0.01002,0.0010025,0.0010025,0.0010025
12,398.3,0.85883,1.42299,0.00855,0.64406,0.73063,0.71455,0.5614,0.76243,1.23623,0.01024,0.00097775,0.00097775,0.00097775
13,431.498,0.87237,1.32504,0.00783,0.72898,0.7412,0.76766,0.60551,0.7777,1.08572,0.01032,0.000953,0.000953,0.000953
14,464.63,0.87632,1.12608,0.00799,0.73426,0.73436,0.77241,0.60267,0.81865,1.08144,0.01077,0.00092825,0.00092825,0.00092825
