epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5094,0.99804,3.41433,1.17445,0.03929,0.84931,0.22329,0.15173,1.00684,3.10093,1.03678,0.000333333,0.000333333,0.000333333
2,84.9742,0.86656,3.01322,1.05297,0.02687,0.88948,0.26557,0.16778,0.96042,3.1071,1.02478,0.00073515,0.00073515,0.00073515
3,126.949,1.00553,2.78175,1.11124,0.02477,0.88948,0.40481,0.26365,0.9007,3.17474,1.01506,0.00112047,0.00112047,0.00112047
4,165.833,0.90654,2.50839,1.07676,0.02342,0.8862,0.49954,0.34888,0.88497,3.07294,1.0238,0.00117575,0.00117575,0.00117575
5,204.852,0.98095,2.34866,1.11276,0.02727,0.89468,0.52472,0.3535,0.90899,2.97958,1.10665,0.001151,0.001151,0.001151
6,244.356,0.93383,1.93762,1.11823,0.02643,0.90183,0.53315,0.34956,0.88842,2.9203,1.10451,0.00112625,0.00112625,0.00112625
7,282.83,0.87691,1.73137,1.11765,0.0267,0.90183,0.48568,0.34631,0.84777,2.90628,1.06361,0.0011015,0.0011015,0.0011015
8,321.217,0.89011,1.60093,1.1296,0.28665,0.61174,0.4958,0.32896,0.80937,2.91795,1.03589,0.00107675,0.00107675,0.00107675
9,360.522,0.8212,1.38523,1.10397,0.92516,0.17143,0.4833,0.33045,0.82685,2.78193,1.02922,0.001052,0.001052,0.001052
10,399.104,0.81242,1.25474,1.09205,0.96722,0.19394,0.50869,0.36585,0.7856,2.74076,1.00892,0.00102725,0.00102725,0.00102725
11,437.703,0.80039,1.20297,1.09628,0.72752,0.3875,0.53573,0.38827,0.80089,2.76573,1.00223,0.0010025,0.0010025,0.0010025
12,475.991,0.74499,1.06558,1.04272,0.85788,0.20377,0.63837,0.44863,0.66966,2.61779,0.9626,0.00097775,0.00097775,0.00097775
13,514.662,0.70199,0.98245,1.05299,0.85573,0.51007,0.74877,0.59497,0.66236,2.20792,0.99577,0.000953,0.000953,0.000953
14,553.696,0.73902,0.97705,1.041,0.86011,0.53408,0.75817,0.58415,0.62692,2.12187,0.97631,0.00092825,0.00092825,0.00092825
15,592.282,0.72082,0.95554,1.04482,0.82505,0.61238,0.74714,0.58366,0.64899,1.99483,1.00541,0.0009035,0.0009035,0.0009035
16,631.678,0.66813,0.95237,1.0015,0.77043,0.62424,0.75076,0.60171,0.61169,1.92971,0.99276,0.00087875,0.00087875,0.00087875
17,671.606,0.69918,0.90845,1.018,0.87043,0.64715,0.80405,0.62527,0.66012,1.89923,0.98704,0.000854,0.000854,0.000854
18,711.003,0.66987,0.86056,1.00792,0.84168,0.72281,0.8485,0.67564,0.63518,1.63592,1.00736,0.00082925,0.00082925,0.00082925
19,750.14,0.70405,0.88129,1.03799,0.8457,0.82535,0.86506,0.71573,0.60943,1.40475,1.00409,0.0008045,0.0008045,0.0008045
20,789.323,0.64188,0.79989,0.99784,0.83945,0.83234,0.86531,0.73013,0.59312,1.26486,0.9918,0.00077975,0.00077975,0.00077975
21,827.832,0.68401,0.83253,1.04441,0.80742,0.85416,0.86027,0.70917,0.60056,1.21944,0.99284,0.000755,0.000755,0.000755
